i,t,m,index,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
7002501801014,2007,South-east serbia,76,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1.386294361
7002502661001,2007,South-east serbia,77,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7002502661003,2007,South-east serbia,78,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.386294361
7002502661004,2007,South-east serbia,79,1,0,0,3,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1.386294361
7002502661005,2007,South-east serbia,80,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1.098612289
7002502661006,2007,South-east serbia,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7002502661007,2007,South-east serbia,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7002502661008,2007,South-east serbia,83,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.386294361
7002502661009,2007,South-east serbia,84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7002502661010,2007,South-east serbia,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7002502661011,2007,South-east serbia,86,2,0,2,2,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1.791759469
7002502661013,2007,South-east serbia,87,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7003300541001,2007,Sumadija,88,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471806
7003300541002,2007,Sumadija,89,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
7003300541003,2007,Sumadija,90,1,0,1,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1.386294361
