i,t,m,Females 00-03,Females 04-08,Females 09-13,Females 14-18,Females 19-30,Females 31-50,Females 51-99,Males 00-03,Males 04-08,Males 09-13,Males 14-18,Males 19-30,Males 31-50,Males 51-99,log HSize
1010300106028,2013-14,Tigray,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1.098612289
1010300106040,2011-12,Tigray,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
1010300106040,2013-14,Tigray,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.098612289
1010300106040,2015-16,Tigray,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1.098612289
1010300106052,2011-12,Tigray,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1.386294361
1010300106052,2013-14,Tigray,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1.386294361
1010300106052,2015-16,Tigray,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1.386294361
1010300106064,2011-12,Tigray,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1.098612289
1010300106064,2013-14,Tigray,0,0,0,1,0,1,0,0,1,2,0,0,0,0,1.609437912
1010300106064,2015-16,Tigray,0,0,0,0,0,1,0,0,1,0,2,0,0,1,1.386294361
1010300106076,2011-12,Tigray,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.098612289
1010300106076,2013-14,Tigray,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1.386294361
1010300106076,2015-16,Tigray,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1.386294361
1010300106088,2011-12,Tigray,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1.386294361
1010300106088,2013-14,Tigray,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1.386294361
1010300106088,2015-16,Tigray,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1.386294361
1010300106100,2011-12,Tigray,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1.386294361
1010300106100,2013-14,Tigray,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1.609437912
1010300106100,2015-16,Tigray,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1.791759469
1010300106112,2011-12,Tigray,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.098612289
1010300106112,2013-14,Tigray,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1.098612289
1010300106112,2015-16,Tigray,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.098612289
1010300106124,2011-12,Tigray,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.6931471806
1010300106124,2013-14,Tigray,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1010300106124,2015-16,Tigray,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1010300106136,2011-12,Tigray,0,0,0,1,1,0,1,0,1,1,0,1,1,1,2.079441542
1010300106136,2013-14,Tigray,0,1,0,1,1,0,1,0,0,2,0,1,1,0,2.197224577
1010300106136,2015-16,Tigray,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1.098612289
1010301804004,2011-12,Tigray,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1.098612289
1010301804004,2013-14,Tigray,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1.098612289
1010301804004,2015-16,Tigray,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1.098612289
1010301804019,2011-12,Tigray,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1.609437912
1010301804019,2013-14,Tigray,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1.098612289
1010301804019,2015-16,Tigray,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1.609437912
1010301804034,2011-12,Tigray,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6931471806
1010301804034,2013-14,Tigray,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1.386294361
1010301804034,2015-16,Tigray,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1.386294361
1010301804049,2011-12,Tigray,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6931471806
1010301804049,2013-14,Tigray,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6931471806
1010301804049,2015-16,Tigray,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.6931471806
1010301804051,2011-12,Tigray,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
1010301804051,2013-14,Tigray,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.098612289
1010301804051,2015-16,Tigray,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1.098612289
1010301804054,2011-12,Tigray,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1010301804054,2013-14,Tigray,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1010301804069,2011-12,Tigray,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.6931471806
1010301804069,2013-14,Tigray,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1.098612289
1010301804069,2015-16,Tigray,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6931471806
1010301804085,2011-12,Tigray,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.386294361
1010301804085,2013-14,Tigray,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1.791759469
1010301804085,2015-16,Tigray,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1.791759469
1010301804100,2011-12,Tigray,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1.386294361
1010301804100,2013-14,Tigray,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1.609437912
1010301804100,2015-16,Tigray,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1010301804115,2011-12,Tigray,0,2,1,0,1,0,0,0,0,0,1,0,0,0,1.791759469
1010301804115,2013-14,Tigray,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1.609437912
1010301804115,2015-16,Tigray,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1.386294361
1010301804130,2011-12,Tigray,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1.945910149
1010301804130,2013-14,Tigray,0,2,2,1,0,1,0,1,1,0,0,1,0,1,2.302585093
1010301804130,2015-16,Tigray,0,1,1,2,0,1,0,0,2,1,0,0,0,1,2.197224577
1010301804145,2011-12,Tigray,0,0,0,0,1,1,0,0,2,1,1,0,0,1,1.945910149
1010301804145,2013-14,Tigray,0,0,0,0,1,1,0,1,2,2,1,0,0,0,2.197224577
1010301804145,2015-16,Tigray,0,0,0,0,0,1,0,1,1,2,1,0,1,0,1.945910149
010103088800709008,2018-19,Tigray,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6931471806
010103088800709016,2018-19,Tigray,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1.791759469
010103088800709024,2018-19,Tigray,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1.609437912
010103088800709032,2018-19,Tigray,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1.098612289
010103088800709040,2018-19,Tigray,0,0,2,1,0,1,0,0,1,0,0,1,1,1,1.945910149
010103088800709048,2018-19,Tigray,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.098612289
010103088800709056,2018-19,Tigray,1,0,0,2,0,1,1,1,1,1,0,0,1,1,2.197224577
010103088800709064,2018-19,Tigray,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.098612289
010103088800709072,2018-19,Tigray,1,1,0,0,1,0,1,0,1,2,0,0,1,0,2.079441542
010103088800709080,2018-19,Tigray,0,0,1,0,0,0,1,0,0,0,2,0,0,1,1.386294361
010104010100101012,2018-19,Tigray,0,1,0,0,1,1,0,0,0,0,2,0,0,1,1.791759469
010104010100101028,2018-19,Tigray,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1.791759469
010104010100101044,2018-19,Tigray,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
010104010100101060,2018-19,Tigray,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
010104010100101076,2018-19,Tigray,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.098612289
010104010100101092,2018-19,Tigray,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.098612289
010104010100101108,2018-19,Tigray,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6931471806
010104010100101124,2018-19,Tigray,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.6931471806
010104010100101140,2018-19,Tigray,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1.609437912
010104010100101156,2018-19,Tigray,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1.945910149
010104010100101172,2018-19,Tigray,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.098612289
010104010100101188,2018-19,Tigray,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1.609437912
